iter	RMSE
0	7.192890156
1	6.933105997
2	6.704779571
3	6.478133516
4	6.261010685
5	6.049216254
6	5.843632596
7	5.655241986
8	5.474139511
9	5.299422466
10	5.146048264
11	4.989793937
12	4.835560553
13	4.702642368
14	4.568906329
15	4.437753974
16	4.318690181
17	4.204161217
18	4.09976574
19	3.995133461
20	3.905719267
21	3.814013954
22	3.728463459
23	3.653555379
24	3.585900318
25	3.513754251
26	3.449887588
27	3.38239178
28	3.323945895
29	3.261914396
30	3.210430991
31	3.158253823
32	3.104899795
33	3.058386206
34	3.017028889
35	2.980424296
36	2.944105197
37	2.905727495
38	2.871799846
39	2.838491208
40	2.808079796
41	2.782101206
42	2.757469542
43	2.72824771
44	2.709131548
45	2.689051561
46	2.663768475
47	2.640260703
48	2.617409377
49	2.592643977
50	2.570588238
51	2.556415069
52	2.54392308
53	2.524591142
54	2.511570229
55	2.485416177
56	2.46569026
57	2.449884315
58	2.433787607
59	2.419518478
60	2.403515259
61	2.393300654
62	2.369685619
63	2.358287722
64	2.348940563
65	2.338850086
66	2.327868902
67	2.320662827
68	2.313280485
69	2.304729598
70	2.292853678
71	2.284272919
72	2.273602189
73	2.267419909
74	2.257747189
75	2.246194809
76	2.238760226
77	2.232999963
78	2.22282459
79	2.218343929
80	2.209825927
81	2.20164268
82	2.194930944
83	2.187179705
84	2.181530857
85	2.174108328
86	2.169377626
87	2.161717493
88	2.154803951
89	2.143921654
90	2.138456516
91	2.128399761
92	2.119777774
93	2.112265665
94	2.105000427
95	2.099717716
96	2.095085708
97	2.089241781
98	2.079112031
99	2.076304442
100	2.071237459
101	2.065057998
102	2.05799584
103	2.049707077
104	2.044986792
105	2.03713011
106	2.03509666
107	2.029356463
108	2.021085448
109	2.013187378
110	2.008397729
111	2.000131101
112	1.994103698
113	1.986904797
114	1.976402066
115	1.973153921
116	1.969388182
117	1.964544037
118	1.958401468
119	1.954355735
120	1.946821844
121	1.938114708
122	1.934211092
123	1.929709343
124	1.923780002
125	1.92021143
126	1.912161949
127	1.904586042
128	1.900627122
129	1.896216946
130	1.892186546
131	1.887538383
132	1.883514794
133	1.879901725
134	1.875391939
135	1.870606148
136	1.865250824
137	1.860115115
138	1.856651585
139	1.85408273
140	1.85145929
141	1.845484494
142	1.843494347
143	1.838492406
144	1.835296453
145	1.831467881
146	1.827233211
147	1.822886327
148	1.816658224
149	1.81128543
150	1.808914593
151	1.806330891
152	1.803441458
153	1.799463123
154	1.794710182
155	1.787875402
156	1.782557613
157	1.779274519
158	1.771662145
159	1.769624817
160	1.765168504
161	1.762313362
162	1.757750805
163	1.754647427
164	1.75139661
165	1.74797797
166	1.744066876
167	1.741000766
168	1.737892593
169	1.736343133
170	1.734799147
171	1.732472218
172	1.729197738
173	1.727719024
174	1.723660736
175	1.721696183
176	1.717182597
177	1.712998197
178	1.706869553
179	1.703543376
180	1.702136226
181	1.696702992
182	1.692408444
183	1.688547348
184	1.685633878
185	1.684319722
186	1.680525163
187	1.677687627
188	1.674662584
189	1.670141887
190	1.668653127
191	1.666297972
192	1.663599865
193	1.660732419
194	1.658184865
195	1.655206077
196	1.653004126
197	1.649754437
198	1.64812642
199	1.645072636
