iter	Passed	Remaining
0	2	473
1	4	421
2	6	402
3	7	363
4	8	342
5	10	339
6	13	365
7	14	346
8	17	361
9	18	347
10	19	337
11	20	326
12	22	319
13	23	313
14	25	312
15	26	309
16	28	307
17	31	314
18	34	329
19	35	321
20	36	314
21	38	308
22	40	315
23	42	312
24	43	306
25	44	300
26	46	295
27	47	290
28	48	288
29	50	283
30	51	278
31	52	275
32	54	273
33	55	271
34	58	274
35	59	270
36	60	266
37	61	263
38	63	260
39	64	257
40	66	257
41	67	255
42	69	252
43	70	248
44	71	245
45	72	242
46	73	240
47	74	237
48	75	234
49	79	237
50	80	235
51	81	233
52	84	234
53	85	232
54	87	229
55	88	227
56	89	224
57	90	222
58	91	219
59	93	217
60	95	216
61	96	214
62	97	212
63	98	210
64	100	208
65	101	206
66	103	204
67	104	202
68	105	201
69	107	199
70	108	197
71	110	196
72	112	196
73	114	194
74	115	192
75	116	190
76	118	188
77	119	186
78	120	185
79	124	186
80	125	184
81	126	182
82	127	180
83	129	178
84	130	176
85	133	176
86	135	175
87	137	174
88	138	173
89	140	171
90	141	169
91	142	167
92	143	165
93	145	163
94	146	161
95	147	159
96	149	158
97	150	157
98	152	155
99	153	153
100	155	151
101	156	150
102	157	148
103	159	146
104	160	145
105	162	143
106	164	143
107	167	142
108	169	141
109	170	139
110	171	137
111	178	140
112	180	139
113	182	137
114	184	136
115	185	134
116	187	132
117	188	130
118	190	129
119	192	128
120	194	126
121	195	124
122	196	123
123	197	121
124	198	119
125	200	117
126	201	115
127	203	114
128	204	112
129	206	111
130	208	109
131	211	108
132	214	107
133	216	106
134	218	105
135	220	103
136	222	102
137	225	101
138	226	99
139	229	98
140	231	96
141	232	95
142	234	93
143	237	92
144	239	90
145	240	88
146	243	87
147	244	86
148	249	85
149	251	83
150	252	82
151	254	80
152	255	78
153	258	77
154	259	75
155	261	73
156	262	71
157	265	70
158	266	68
159	268	67
160	273	66
161	275	64
162	276	62
163	278	61
164	280	59
165	281	57
166	282	55
167	286	54
168	289	53
169	290	51
170	292	49
171	294	47
172	295	46
173	296	44
174	298	42
175	299	40
176	301	39
177	303	37
178	304	35
179	309	34
180	310	32
181	312	30
182	313	29
183	315	27
184	316	25
185	318	23
186	319	22
187	327	20
188	329	19
189	332	17
190	334	15
191	336	14
192	338	12
193	344	10
194	346	8
195	352	7
196	355	5
197	357	3
198	359	1
199	360	0
