,,temperature,temperature,temperature,temperature,temperature,ndvi,ndvi,ndvi
,,count,mean,min,max,std,mean,min,max
city,location_name,,,,,,,,
Johor Bahru,JB City Centre,61,36.15,31.47,41.75,2.45,0.31,0.15,0.47
Johor Bahru,Nusajaya,61,33.97,29.18,38.22,2.02,0.4,0.29,0.52
Johor Bahru,Pasir Gudang,61,36.3,31.91,40.16,2.05,0.3,0.17,0.41
Johor Bahru,Skudai,61,34.5,30.19,39.43,2.19,0.38,0.21,0.53
Johor Bahru,Tebrau,61,36.07,31.69,39.7,1.86,0.33,0.17,0.49
Kuala Lumpur,Bukit Bintang,61,36.25,31.89,40.67,2.07,0.3,0.15,0.49
Kuala Lumpur,Cheras,61,35.22,31.73,40.02,1.98,0.36,0.18,0.53
Kuala Lumpur,KLCC,61,35.77,30.9,40.23,2.32,0.32,0.2,0.44
Kuala Lumpur,Mont Kiara,61,34.78,28.9,39.18,2.41,0.39,0.22,0.52
Kuala Lumpur,Petaling Jaya,61,35.31,30.22,39.85,2.25,0.35,0.22,0.48
Penang,Bayan Lepas,61,22.07,-123.15,39.55,38.55,0.29,-0.04,0.49
Penang,Bukit Mertajam,61,34.13,28.86,39.07,2.21,0.41,0.26,0.54
Penang,Butterworth,61,24.26,-123.15,44.09,35.26,0.31,-0.0,0.5
Penang,Georgetown,61,24.16,-123.15,45.7,33.7,0.31,0.0,0.5
Penang,Tanjung Bungah,61,33.87,28.51,37.98,2.03,0.44,0.33,0.61
