Model,R² Score,RMSE,MAE,Train Time (s),Predict Time (s)
Random Forest,0.8361836050467589,2.308651377227615,1.7257008601102999,3.587993621826172,0.08591318130493164
XGBoost,0.7782343448569063,2.6861287058443324,2.017568823958438,2.132624387741089,0.016329288482666016
LightGBM,0.762705688204672,2.778582768279135,2.0848542377062627,1.0001089572906494,0.016078948974609375
Gradient Boosting,0.7626891631236394,2.778679516291516,2.0877348159942173,21.531797170639038,0.04351329803466797
Decision Tree,0.7571165574053598,2.8111151070997042,2.1030905809587983,0.3535733222961426,0.008625030517578125
CatBoost,0.7563524986977521,2.815533214878474,2.11526948300245,2.679333448410034,0.008278131484985352
K-Nearest Neighbors,0.7554745451619181,2.8206013656458997,2.1296281497308613,0.08823275566101074,0.08742856979370117
Support Vector Regressor,0.7483408915605467,2.8614489417535927,2.1248050432987133,243.65241646766663,101.47214388847351
AdaBoost,0.7082249388951531,3.0810855592019024,2.3788281731240617,1.9020648002624512,0.03153657913208008
Ridge Regression,0.6959994535935441,3.144972528726293,2.3558943527277214,0.013856172561645508,0.0009098052978515625
Linear Regression,0.6959992340193502,3.1449736645049806,2.355893642480952,0.019275665283203125,0.0016591548919677734
Lasso Regression,0.6953989699170599,3.1480770840161756,2.356001924559621,0.14041376113891602,0.0021300315856933594
